,Eval 1,Eval 2,Eval 3,Eval 4,Eval 5,Eval 6,Eval 7,Eval 8,Eval 9,Eval 10,Eval 11,Eval 12,Eval 13,Eval 14,Eval 15,Eval 16,Eval 17,Eval 18,Eval 19,Eval 20,Eval 21,Eval 22,Eval 23,Eval 24,Eval 25,Eval 26,Eval 27,Eval 28,Eval 29,Eval 30,Eval 31,Eval 32,Eval 33,Eval 34,Eval 35,Eval 36,Eval 37,Eval 38,Eval 39,Eval 40,Eval 41,Eval 42,Eval 43,Eval 44,Eval 45,Eval 46,Eval 47,Eval 48,Eval 49,Eval 50,Eval 51,Eval 52,Eval 53,Eval 54,Eval 55,Eval 56,Eval 57,Eval 58,Eval 59,Eval 60,Eval 61,Eval 62,Eval 63,Eval 64,Eval 65,Eval 66,Eval 67,Eval 68,Eval 69,Eval 70,Eval 71,Eval 72,Eval 73,Eval 74,Eval 75,Eval 76,Eval 77,Eval 78,Eval 79,Eval 80,Eval 81,Eval 82,Eval 83,Eval 84,Eval 85,Eval 86,Eval 87,Eval 88,Eval 89,Eval 90,Eval 91,Eval 92,Eval 93,Eval 94,Eval 95,Eval 96,Eval 97,Eval 98,Eval 99,Eval 100
Model 13,0.707214,0.223388,1,0.437679,0.160044,1,0.584642,0.591262,1,0,0.797616,0.489553,0,0.362915,0,0.47064,0.657889,1,0.344373,0.48239,0.958824,0.056572,1,0.793512,1,0.215216,1,0.368694,0.1786,0.845361,0.6586,0.505413,0.60798,0.941052,0.111632,0.74479,0.475599,0.36367,0.727822,0.636373,1,1,0.273269,0.019631,0.839917,0.923446,0.294962,0.161552,0.266374,0.137677,0,0,0.330721,0.87318,1,1,0.387496,0.043457,0.934404,0.769604,0.169805,0.77442,0.31502,0.548693,0.382951,0.265714,0.276509,1,0.405776,0.373799,0.514349,1,0,0.951142,0.844678,0.492074,0.283226,1,0.861371,0.046268,0,0.653354,0.051377,0.324149,0.125749,0,0.269573,0.220629,1,0,0.283683,0.375614,0.332702,0.355588,0.528869,0.954993,0.405727,0.212633,0.881469,0.195597
Model 14,0.433941,0.93354,0.507138,0,0.636939,0.336945,0.329326,0,0.624042,0,0,0.672355,1,0,0,0.487241,1,1,0.710715,0.42284,0.640259,0.498918,0.175353,0.331426,0.258482,0.612253,0.998303,0.0988,0.859366,1,0.53762,0.066421,0,0,0.920918,0.414918,0.380715,0.554662,0.652602,0.190387,0.705581,0.22352,0,0.857488,0.81554,0.131915,0.35507,0.234885,0,0.089701,0.372146,0.456738,0.315073,0.528912,0.484407,0.9832,0,0.810601,0.947134,0,0,1,0.161232,0.706946,1,0.469397,0.576147,0.878899,0.560693,0.640608,0.707163,0.917437,0.18105,0.628624,1,0,0,1,0.955474,0,0.404536,1,1,1,0.343326,1,0.702716,0.621896,1,0.468259,0,0.917949,0.689259,0.510268,0.269911,0,0.614634,0,0.864564,0.743929
Model 15,0.021338,0.214492,0.487719,0.477418,0.776149,0.209965,0.048685,0,0.252941,0.532526,0.580625,1,0.755467,0.460893,0.588431,0.928492,1,0.115921,0.628918,0,0.081924,0,0.253369,1,0,0.785015,1,0.22731,1,0.579564,0.216746,0.546178,0.082275,0.485233,1,0.666204,0.15089,0.037779,0,0,0.39547,0.654665,0.684676,0.595208,1,0.658916,1,0.876156,0.180607,1,1,0.475006,0,1,0.659604,0.485219,0.128854,0.779853,0.882928,0.239124,0.356583,1,0.422845,0,0.078898,0.739525,0.669312,0.315393,0.505239,1,0.791705,0,0.214931,0.083969,1,0,0.907521,0,0.920207,0.311369,0.341843,0.15751,0,0.282121,0.821738,0.397579,0,0.32646,0.008011,0.858316,0.403572,0.299478,0.239858,0.583924,0.790332,0.26119,0,1,0.068124,0.597876
Model 16,0.2332,0,0.202923,0.14738,0.951368,0.02766,0.526125,0.275968,0.158532,0,0,0,0.637909,0,0.560617,0.303264,0.356894,0.185462,0.543518,0.351084,0.717239,0.046,0.090669,0.139724,0,0.790085,0.527612,0.276406,0.674695,0.93032,0.305826,0.605247,0,0.741996,0.793909,0.765281,0.300505,0.065297,0.115483,0.188566,1,0,0.507195,0.61383,0.524425,1,1,0.086955,0,0,0.584778,0.341972,0.938128,0.37406,0,0.441097,0.360136,0.624785,0.001385,0.49373,0,0.111766,0.575697,0,0.419189,0,0,0.678577,1,0.725212,0.901146,0,0.739448,0.638618,0,0.271802,0.076848,0.809105,0.322841,0.505319,0.422492,0.64752,0.709798,0.207505,0.558394,0.079898,0.904341,0.240283,0,0,0.850328,0.12142,0.311975,0.475987,0,0.981844,0,0.855869,0.214375,0.304045
Model 17,0.17491,0.731036,0.434768,0.513135,0.186415,1,0.214153,0.298343,0.536057,0.33424,0.279288,0,0.138529,0,0.396244,0.566543,0.474892,1,0.563481,1,0.347073,0.698137,0.965542,0.696731,0.86013,0.705753,1,0.33632,0.503267,0.482754,0.115023,0.934803,0.494154,1,0.178933,0,0.942694,0.18087,0.466912,0.899892,0.716331,0.371859,0.614278,0,0.549559,1,0,1,0.861018,0.476615,1,0,0.655676,0,0.391825,0.3435,0.026378,0.330879,1,0.409679,0.066353,1,0.538593,1,0.7267,0.376385,0.147446,0.256078,0.296588,0.195878,0.560509,0.181454,0.478238,0.797904,0,0.206789,0.254006,0.377172,0,1,1,0.876168,0.137341,0.297475,0.531491,0.004468,0.706552,1,0.030504,0,0.00803,0.697054,0.795645,0.631965,0.943151,0.940649,0.750934,0.873674,0.470176,0.731951
Model 18,0.597215,0.997294,0.969832,0.131857,0.593715,0.157002,0.680168,0.704811,1,0.142581,0.85603,0.703717,0.955833,0,0.48644,0.574479,0.265069,1,0,0.821005,0.78582,0.109804,0,0.791864,0.608165,0.004705,1,0.514478,0.531751,0.843353,0.69604,0,0,0.97093,0.321094,0.67582,0.165046,0.908598,1,0,1,0.77884,0,0,1,1,0.42458,0.538459,0.287428,0.403579,0.200856,1,0,0.794119,0.076856,0.930456,0,0.170338,0.907392,0.142648,0,0,0.909371,0.970848,0.488566,0,0.65595,0.959183,0.514359,0.200824,1,1,0.708293,0.567902,1,1,0.453362,0.248252,0.602755,0.518021,0.344454,1,0.69988,0.499351,0.250872,0.016063,0.04612,0,1,1,0.285062,0.834546,0.213559,0.75702,0.131904,0.801029,0.468556,0.607567,0.691803,0.623894
Model 19,0.53937,1,0.952272,0.696004,0.867766,0.810621,0.687131,0,1,0.203083,1,0.920646,0.927863,0.36613,0.658029,1,0.493639,0.153321,1,0,0,0.072655,0,0.999846,1,1,0.273503,0,0.975123,0.538089,0.361081,0.812733,0,0.602575,1,0.632984,0,0.022637,0.603425,0,0.727458,0.543285,0.439149,0.37269,0.601138,0.85148,0.6012,0.290392,0.110898,0.274048,0.941979,0.844366,0.071925,1,0.753774,0.430957,0.578931,0,0.81355,0.001706,0,0.475833,0.750003,0.838406,0.918285,0.036721,0.030627,0.695856,0.178225,1,0,0.561898,0.309589,0.284615,1,0.577699,0.390115,0.394965,0.752142,0.334558,0.045015,0.830019,0.717615,0.748383,0.616805,1,0.14975,0.443192,0.858274,0.523476,0.469915,0.840481,0.778104,1,0,0,0.366348,0,0,0.446194
Model 20,0,0.29867,0.012842,0,0.859973,0.103154,0.043587,0.685774,0.760782,0.928587,0,0.064776,0,0,0.522302,0.199482,0.759539,0.632828,0,0,0.70527,0.341778,0,0.819397,1,1,0.752984,0,1,0.776522,0.475457,0.357231,0.250626,0.73534,0.559532,1,0.177862,0.143062,0.405275,0.187199,0.281989,0.480937,1,1,0.240149,0.881836,0.036836,0.058631,0.112337,0.187202,0.723227,1,0.518353,0.426619,1,0.454795,0,0.654517,0.50139,0.742854,1,0.039927,0.621088,0.216701,0.384369,0,0.942295,1,0.595841,0.833837,0.586805,0.77321,0.536685,0,1,0,1,0.09047,0.203628,0.456945,0.489555,0,0.513035,0.301067,0,0,0.895292,0.660415,0,0.60808,0.582451,1,0.497365,0.677358,0.66561,0.996463,0,0.463364,0.168027,0.756421
Model 21,0.217136,0.179076,0.799133,0.07846,0.517821,0,1,0,1,0,0.927637,0.696282,0,0.15269,0.209614,0,1,0.2011,0.373774,0,0.88286,0.623167,0.155767,0,0.160266,1,1,0.647656,0.3117,0.897109,0.122827,0.875445,0.564765,0.448631,0.461309,0.431127,0,0.293729,0.58706,0.553571,0.461816,0.354882,0.717196,0.998436,0,1,0.420833,0.556308,0.307614,1,0.76829,0.726058,0.40518,0.132104,0.505166,0.281788,0.381599,0,0.330543,0.005653,0.272323,0.162236,0.964589,0.683974,0,0.928363,0.490172,0.333497,1,0.976419,1,1,1,0.170411,0.46776,0.638703,0.624603,0.512761,0.272081,0,0.651084,0,0.229624,0.419146,0,0.131071,0.921136,0,0,0.127661,0,0.137606,0,0.329704,0.67944,0.555361,0.377421,0.985634,0,0.722679
Model 22,0.860776,0.900641,0.413914,0.497642,1,0.9571,0.263586,0.898816,1,0.917854,0.668102,0.105903,0.478427,0.425424,0.430901,0.313931,0,0.457008,0.979154,1,0,0.273916,1,0.447793,0.828883,0.1194,0.42957,0,0,1,0.227138,1,0.821422,1,0.267519,0.70171,0.141644,0.135264,1,0.429463,0.215142,0,1,0.570555,0.06004,0.636945,0.75956,0.322719,0.78226,0.034073,0.256024,0.641863,0.776561,0.181851,0.537221,0.407803,0.659932,0.383828,0,0.650647,0,1,0,0.680392,1,0.675087,0.513834,1,0.240875,0.235456,0.521774,0,0.828711,0.615554,0.504079,0.183888,0.330933,1,0,0.355201,0.601966,0.645776,0.619892,0.538173,0.574845,0,0.646613,0.723764,0,0.786885,1,0.829518,0.067127,0.751777,0,0.87489,0.804415,0.857405,0.215424,0.50892
Model 23,0.839987,0.696951,0.325015,0.233471,0.273439,0.492494,0.228921,0.578334,1,0.203446,0.661448,0,0.032636,0.399221,0.901456,1,0.586561,1,0.675953,1,0.560606,0.296046,0.483909,0.217632,0.643571,0.314391,0.865981,0,0,0.630727,0.352016,0.905934,0,1,0.853559,1,0.739956,0.067533,1,0.327623,0.759523,0.290069,0.467807,0.208439,0.471771,1,0.114079,0.32649,1,0,0.374932,0.080185,0.674562,0.728173,0.652494,0.26325,0,0.24948,0.763859,0.814106,1,0.727074,0.399146,0.968641,0,0.458251,0,1,0.141176,0.868361,0.211556,1,0,1,0.489448,0.560809,0,0.242359,1,0.521946,0.896261,0.360847,0.763854,0.534852,0.894016,0.313856,0.149773,0.316025,1,0.641269,0.896858,0.983777,0.888621,1,0.724572,0.983341,0.089736,0,0,0
Model 24,0.85558,0,0.206442,0.108202,1,0.034956,0.207726,0,0.16193,0.724539,1,0.591915,0.930127,0.813781,0,0.373096,1,0.824701,0.786016,0.165644,0.503513,0.790712,0.430551,0.252483,0,0.571472,0.566484,0.83456,0.881503,0.410661,0.733677,0.437193,0.434354,0.2459,0.560428,0.184292,0.616842,0.059082,0.287595,0.763853,0.429506,0,0,0.425491,0.08967,0.87636,0.291287,0.428351,0.257868,0.365934,0.233348,0.47283,0.599696,0.520867,0.05213,1,0.94717,0.681952,0.908959,0,0.087592,0,0.758574,0.553163,0.138483,0.294022,0,1,0.3063,0.213207,1,0.000098,0.178942,0.560896,0.977198,1,0,0.754312,0.539295,0,0.273161,0.156479,0.60959,0.290159,0.660014,0.753769,0.192769,0.049612,1,0.735022,0.15251,0.73693,1,0.31226,0.451725,0,0.479867,0.594734,0.234825,0.033493
Model 25,0.149613,0,0.580652,0.446222,1,0.708955,0.557685,0.252989,1,0.578731,0.57384,0.231626,1,0.719601,0,0.750823,0.571313,0,0.356098,0.184851,0.292429,0.060949,0.957181,0.608506,0,0.237201,0.463938,0.072535,1,0.410382,0.074331,0.281827,0,0.41058,1,0.428204,0.558823,0.063574,0.643381,0.127504,0.75829,0.588721,0.900043,1,1,0.814349,0.175901,0.71135,0.439993,0.316265,0.20802,0.741002,0.600306,0.864413,0.648976,0.945795,0,0.541728,1,0.244772,0,0,1,0.123021,0.646828,0.941817,0,0.671433,0.383042,0.904048,0.964305,0.660587,0.531675,0.073002,1,0.639743,0.293299,0.281772,1,0.47743,0,0.992094,0.45101,1,0.28117,0.122622,0.284998,0.651688,0.478078,0.446871,0.267548,0.276256,0.990126,0.80141,0.351551,0.197541,0.243684,0,0.445694,1
Model 26,0,0.197477,0.748333,0.636032,0.904623,0.420043,0.876087,0.037105,0.724515,1,0.32896,0.262816,0.434188,0.158089,0.570407,0.300378,0,0.829292,0.181097,0.378527,0.30413,0.704032,0.592192,0,0.764216,0.073475,0.47197,0,0.437035,0.627944,0.258277,0.573361,0.173251,0.784764,0.79905,0.539141,0.906408,0.380833,0.571054,0.276405,0.449109,1,0,1,0.619747,0.774542,0.147007,0.317643,0.270565,0.553656,0.225976,0.778248,0.91978,0,0.627511,0,0.437875,0.26592,0.289497,0.791279,0,0.567387,0,0.491896,0.931178,0.872934,0.608136,1,0.991269,0.600928,1,0,0.872925,0.290957,0.293027,0.671048,0.376548,0.014772,0,0.972764,0,0.770915,0.21628,0.257111,1,0.032975,0.204258,0,0,0.895033,0.33488,0.041843,0.967213,1,0.656194,0.890467,0.942394,1,0,0.330697
Model 27,0.418912,0.353718,0.822288,0.820151,1,0.965889,0.614665,0.878601,1,0.781655,1,0.019739,0.584157,0.072016,0,1,1,0.596029,0.802446,0.777919,0.101399,0.902083,1,0.148965,0.43541,0,1,0,0,0.749246,1,0.32183,0.600468,0.394782,0.843337,0.727794,0.836972,0.979897,0.856242,0.590473,0.629065,0,0.660258,0.899793,0.953881,1,0,0.666253,0.792649,0.009793,1,0,0.578879,0.467007,0.944226,0.154721,0.89131,0.468551,0.009331,0.746567,0.448422,1,0,1,1,0.479989,0,0.488532,0.938745,0.935252,0.822968,0,0.321627,0.654693,0.356568,0.36315,0.618134,0,0.750716,0.165672,0.601044,0.849386,0,0.433995,0.163668,0.267118,0.453719,0.415238,0,0.181275,0.781822,0,0,0.011088,0.927033,0.6482,0.295857,0.712599,0,0
Model 28,0.502347,1,0.799333,0,0.846828,0.135296,0.316414,0.192068,0.693024,0,0.330078,0.219092,1,0.304562,1,0.354607,0.4153,0,0,1,0.923272,0.281369,0.234055,0.544374,1,0.229588,0.8926,0,1,0.579538,1,0.394674,0,1,0.30349,0.496045,0.901615,0.689171,0.067469,0.026013,1,0,0.720381,0.284452,0.373679,1,0.723538,1,0,0.449769,0.307675,1,0,1,0.853045,0.300148,0.368063,0.682192,0.838799,0,0,0.896023,0.544947,0.613426,1,0,0.060338,0.462997,0.720236,0,0.827122,0.530486,0.227136,1,0.915009,0.972478,0,0.983843,0,0.169011,0.718824,0.653301,1,0.802354,0.449969,1,0.593771,0.394248,1,0.049767,0.400376,0.420864,0.992186,0,0,0.898978,0.583212,0.820588,0.482039,0.959263
Model 29,0.769647,1,0.594968,0,1,1,0,0.502714,0.738806,0.58657,0.880041,1,0.619981,0.215324,0.398462,0.834624,0.67247,0.604961,0.944907,0.133209,0.521165,0.357646,0.193399,1,0,0.146355,0.351096,0.540996,0.611108,0.930975,0.018791,0.574347,0.559809,0,0.543377,0,0.43157,0.729185,0.757803,0.002294,0.717996,0.570543,1,0.773428,0.300971,1,1,0.389713,0.075078,0.521869,0.144837,0.38115,0.316505,0.973261,0.176605,0.660338,0,0.264614,0.563586,0.084139,0.509519,0.966649,0.936097,0.196241,0.662632,0.282191,0,0.05004,0.313686,0.877038,0.962968,0,0.516714,0.39185,0.613398,0.57341,0.391675,1,0.924854,1,0.61178,0.804904,0.590423,0.753511,0,1,0,0.14358,0.87182,0.252968,1,0.962153,1,1,0.716404,0.212475,0.853217,0.325686,0.180689,0.758073
Model 30,0,0.867485,0.786905,0,1,0.211429,0.718808,0,0.843329,0.705791,0.454697,0.457631,0,0,0.591563,0,0.448598,0,0.050706,0.23734,1,0.78775,0,1,0,0.4482,0.686017,0.966874,0.851561,0.345769,1,1,0,1,0.55012,0.210223,0.607434,0.412921,0.762732,0.607047,0.524296,0.874999,0.625383,0.291957,0.3323,0.512441,0,0.932534,0.870552,0.46578,0.922479,0.346574,0.627863,0,0.33471,0.716389,0,0,0.226738,0.579951,0.439337,0.49761,0.413385,0.220709,0.992515,0.3839,0.752962,0.488283,1,0.160922,1,0.430365,0.240444,0,0,0.35368,1,0.472102,0.757089,0,0.56597,0,0.606803,0,0.574732,0.232543,0,0,0,0.554156,0,0,0,0.562452,0.179228,0.712352,0.089344,0.939656,0.156175,0.173332
